Iter 1090: Train loss 0.71046009, Learning Rate 1.000e-05, It/sec 4.046, Tokens/sec 133.515, Trained Tokens 35970, Peak mem 3.481 GB
Iter 1100: Train loss 0.71044850, Learning Rate 1.000e-05, It/sec 3.931, Tokens/sec 129.738, Trained Tokens 36300, Peak mem 3.481 GB
Iter 1110: Train loss 0.71045589, Learning Rate 1.000e-05, It/sec 4.029, Tokens/sec 132.962, Trained Tokens 36630, Peak mem 3.481 GB
Iter 1120: Train loss 0.71045995, Learning Rate 1.000e-05, It/sec 4.056, Tokens/sec 133.855, Trained Tokens 36960, Peak mem 3.481 GB
Iter 1130: Train loss 0.71023073, Learning Rate 1.000e-05, It/sec 4.137, Tokens/sec 136.535, Trained Tokens 37290, Peak mem 3.481 GB
Iter 1140: Train loss 0.71031394, Learning Rate 1.000e-05, It/sec 3.911, Tokens/sec 129.072, Trained Tokens 37620, Peak mem 3.481 GB
Iter 1150: Train loss 0.71041708, Learning Rate 1.000e-05, It/sec 4.152, Tokens/sec 137.007, Trained Tokens 37950, Peak mem 3.481 GB
Iter 1160: Train loss 0.71048474, Learning Rate 1.000e-05, It/sec 3.805, Tokens/sec 125.555, Trained Tokens 38280, Peak mem 3.481 GB
Iter 1170: Train loss 0.71009636, Learning Rate 1.000e-05, It/sec 4.043, Tokens/sec 133.412, Trained Tokens 38610, Peak mem 3.481 GB
Iter 1180: Train loss 0.71045961, Learning Rate 1.000e-05, It/sec 4.077, Tokens/sec 134.541, Trained Tokens 38940, Peak mem 3.481 GB
Iter 1190: Train loss 0.71034255, Learning Rate 1.000e-05, It/sec 4.101, Tokens/sec 135.324, Trained Tokens 39270, Peak mem 3.481 GB
Iter 1200: Train loss 0.71046095, Learning Rate 1.000e-05, It/sec 4.106, Tokens/sec 135.496, Trained Tokens 39600, Peak mem 3.481 GB
Iter 1210: Train loss 0.71021237, Learning Rate 1.000e-05, It/sec 3.998, Tokens/sec 131.926, Trained Tokens 39930, Peak mem 3.481 GB
Iter 1220: Train loss 0.71022072, Learning Rate 1.000e-05, It/sec 4.006, Tokens/sec 132.197, Trained Tokens 40260, Peak mem 3.481 GB
Iter 1230: Train loss 0.71022534, Learning Rate 1.000e-05, It/sec 4.092, Tokens/sec 135.024, Trained Tokens 40590, Peak mem 3.481 GB
Iter 1240: Train loss 0.71038156, Learning Rate 1.000e-05, It/sec 3.956, Tokens/sec 130.561, Trained Tokens 40920, Peak mem 3.481 GB
Iter 1250: Train loss 0.71027765, Learning Rate 1.000e-05, It/sec 4.174, Tokens/sec 137.743, Trained Tokens 41250, Peak mem 3.481 GB
